Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,a,b,p,N,q,,,,,,
,13,7,31,11,5,,hash function,,linear,,quadratic
,,,,,,17,0,,0,,0
,,,,,,20,8,,8,,8
,,,,,,12,8,,9,,9
,,,,,,29,1,,1,,1
,,,,,,79,0,,2,,4
,,,,,,51,8,,10,,6
,,,,,,13,10,,3,,10
,,,,,,59,8,,4,,2
,,,,,,,,,,,
,,,,,,,,,,,
,,k,hashfunction,q - (k mod q),,double hashing,,i,,,
,,17,0,3,,0,,0,,,
,,20,8,5,,8,,1,,,
,,12,8,3,,3,,2,,,
,,29,1,1,,1,,3,,,
,,79,0,1,,3,,4,,,
,,51,8,4,,5,,5,,,
,,13,10,2,,10,,6,,,
,,59,8,1,,9,,7,,,
,,,,,,,,8,,,
,a,N,,,,,,9,,,
,3,7,,,,,,,,,
,,,,,,,,,,,
,,,,,chaining,,,,,,
,,hi,33,,5,,,,,,
,,good,373,,2,,,,,,
,,bad,25,,4,,,,,,
,,fly,115,,3,,,,,,
,,dab,41,,6,,,,,,
